	P_fluo_1098	P_fluo_1550	P_fluo_4488	P_fluo_513	P_protegens_3295	P_protegens_PBL3	P_putida_4512
GC_00000001	6	4	8	5	8	8	9
GC_00000002	6	6	5	6	5	5	5
GC_00000003	3	3	3	5	6	5	8
GC_00000004	18	0	12	0	0	0	0
GC_00000005	4	4	4	5	5	5	3
GC_00000006	0	22	0	0	0	0	2
GC_00000007	5	3	3	3	2	2	4
GC_00000008	3	3	3	2	4	3	4
GC_00000009	3	2	3	3	3	3	4
GC_00000010	8	2	6	2	3	0	0
GC_00000011	3	2	3	3	3	3	3
GC_00000012	3	3	3	3	2	2	3
GC_00000013	2	2	2	2	3	3	5
GC_00000014	3	3	3	3	2	2	2
GC_00000015	3	2	2	2	3	3	3
GC_00000016	2	5	0	1	3	3	4
GC_00000017	4	2	4	2	2	2	2
GC_00000018	4	2	4	2	2	2	2
GC_00000019	3	2	3	2	3	3	2
GC_00000020	4	2	4	2	2	2	2
GC_00000021	2	2	2	3	4	3	2
GC_00000022	3	1	2	1	3	3	4
GC_00000023	2	2	1	2	3	3	4
GC_00000024	3	3	2	3	3	3	0
GC_00000025	2	2	2	2	3	3	2
GC_00000026	2	3	2	2	2	2	3
GC_00000027	2	2	2	3	2	2	3
GC_00000028	2	2	2	2	2	2	4
GC_00000029	2	2	1	2	3	3	3
GC_00000030	2	3	2	2	2	2	2
GC_00000031	2	2	2	2	2	2	3
GC_00000032	3	2	2	1	2	2	3
GC_00000033	2	2	2	2	2	2	3
GC_00000034	2	2	2	1	3	3	2
GC_00000035	2	1	1	3	3	3	2
GC_00000036	2	2	2	2	2	2	2
GC_00000037	2	2	2	2	2	2	2
GC_00000038	2	2	2	2	2	2	2
GC_00000039	2	2	2	2	2	2	2
GC_00000040	2	2	2	2	2	2	2
GC_00000041	3	3	3	1	1	1	2
GC_00000042	1	2	1	1	3	3	3
GC_00000043	2	2	2	2	2	2	2
GC_00000044	2	2	2	2	2	2	2
GC_00000045	2	2	2	2	2	2	2
GC_00000046	2	2	1	2	1	1	5
GC_00000047	2	1	2	2	3	2	2
GC_00000048	2	2	2	2	2	2	2
GC_00000049	2	2	2	2	2	2	2
GC_00000050	2	2	2	2	2	2	2
GC_00000051	3	0	4	0	0	0	7
GC_00000052	2	2	2	2	2	2	2
GC_00000053	2	1	2	1	3	2	3
GC_00000054	2	2	2	2	2	2	2
GC_00000055	3	2	2	2	1	1	2
GC_00000056	2	1	2	2	2	2	2
GC_00000057	2	2	1	2	2	2	2
GC_00000058	2	2	2	1	2	2	2
GC_00000059	1	2	1	2	2	2	3
GC_00000060	1	2	1	2	2	2	3
GC_00000061	1	2	1	3	2	2	2
GC_00000062	1	4	1	2	1	2	2
GC_00000063	2	1	2	2	2	2	2
GC_00000064	1	3	3	1	1	0	4
GC_00000065	2	1	2	2	2	2	2
GC_00000066	2	2	1	2	2	2	2
GC_00000067	2	2	1	2	2	2	2
GC_00000068	2	1	2	1	2	2	2
GC_00000069	2	1	2	1	2	2	2
GC_00000070	2	1	2	1	2	2	2
GC_00000071	2	1	2	1	2	2	2
