gene_id	chrom_start	chrom_end	description	gene_id	gene_synonym	gene
gene_00001	165	1706	Ontology_term:GO:0006270, Ontology_term:GO:0006275, Ontology_term:GO:0003677, Ontology_term:GO:0003688, Ontology_term:GO:0005524, gene:dnaA, go_function:DNA binding|0003677||IEA, go_function:DNA replication origin binding|0003688||IEA, go_function:ATP binding|0005524||IEA, go_process:DNA replication initiation|0006270||IEA, go_process:regulation of DNA replication|0006275||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_064721.1, product:chromosomal replication initiator protein DnaA, protein_id:WP_011058391.1	HH203_RS00005		dnaA
gene_00002	1745	2848	Ontology_term:GO:0006260, Ontology_term:GO:0003887, Ontology_term:GO:0009360, gene:dnaN, go_function:DNA-directed DNA polymerase activity|0003887||IEA, go_process:DNA replication|0006260||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_064722.1, product:DNA polymerase III subunit beta, protein_id:WP_011058392.1	HH203_RS00010		dnaN
gene_00003	2869	3972	Ontology_term:GO:0006281, Ontology_term:GO:0003697, Ontology_term:GO:0005524, gene:recF, go_function:single-stranded DNA binding|0003697||IEA, go_function:ATP binding|0005524||IEA, go_process:DNA repair|0006281||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003253154.1, product:DNA replication/repair protein RecF, protein_id:WP_011058393.1	HH203_RS00015		recF
gene_00004	3977	6394	Ontology_term:GO:0006265, Ontology_term:GO:0003918, Ontology_term:GO:0009330, gene:gyrB, go_function:DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity|0003918||IEA, go_process:DNA topological change|0006265||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_002551319.1, product:DNA topoisomerase (ATP-hydrolyzing) subunit B, protein_id:WP_011058394.1	HH203_RS00020		gyrB
gene_00005	6627	7151	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633605.1, product:DUF4265 domain-containing protein, protein_id:WP_011058395.1	HH203_RS00025		
gene_00006	7303	7788	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633606.1, product:DUF4265 domain-containing protein, protein_id:WP_011058396.1	HH203_RS00030		
gene_00007	7785	8105	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633607.1, product:hypothetical protein, protein_id:WP_169892327.1	HH203_RS00035		
gene_00008	8133	8861	Ontology_term:GO:0000160, Ontology_term:GO:0006355, Ontology_term:GO:0003677, go_function:DNA binding|0003677||IEA, go_process:phosphorelay signal transduction system|0000160||IEA, go_process:regulation of DNA-templated transcription|0006355||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058398.1, product:response regulator transcription factor, protein_id:WP_011058398.1	HH203_RS00040		
gene_00009	9777	10775	inference:COORDINATES: similar to AA sequence:RefSeq:WP_015633608.1, product:FecR domain-containing protein, protein_id:WP_011058399.1	HH203_RS00045		
gene_00010	10794	13112	inference:COORDINATES: similar to AA sequence:RefSeq:WP_019095590.1, product:CHASE2 domain-containing protein, protein_id:WP_011058400.1	HH203_RS00050		
gene_00011	13293	14063	inference:COORDINATES: similar to AA sequence:RefSeq:WP_011058401.1, product:lysophospholipid acyltransferase family protein, protein_id:WP_011058401.1	HH203_RS00055		
gene_00012	14147	14680	Ontology_term:GO:0005975, Ontology_term:GO:0016791, gene:gmhB, go_function:phosphatase activity|0016791||IEA, go_process:carbohydrate metabolic process|0005975||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_003220221.1, product:D-glycero-beta-D-manno-heptose 1,7-bisphosphate 7-phosphatase, protein_id:WP_011058402.1	HH203_RS00060		gmhB
gene_00013	14698	16752	Ontology_term:GO:0006426, Ontology_term:GO:0004820, Ontology_term:GO:0009345, gene:glyS, go_function:glycine-tRNA ligase activity|0004820||IEA, go_process:glycyl-tRNA aminoacylation|0006426||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_017736252.1, product:glycine--tRNA ligase subunit beta, protein_id:WP_011058403.1	HH203_RS00065		glyS
gene_00014	16749	17702	Ontology_term:GO:0006426, Ontology_term:GO:0004820, Ontology_term:GO:0009345, gene:glyQ, go_function:glycine-tRNA ligase activity|0004820||IEA, go_process:glycyl-tRNA aminoacylation|0006426||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_064729.1, product:glycine--tRNA ligase subunit alpha, protein_id:WP_003177094.1	HH203_RS00070		glyQ
gene_00015	17784	18347	Ontology_term:GO:0006281, Ontology_term:GO:0008725, gene:tag, go_function:DNA-3-methyladenine glycosylase activity|0008725||IEA, go_process:DNA repair|0006281||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:WP_020294967.1, product:DNA-3-methyladenine glycosylase I, protein_id:WP_011058404.1	HH203_RS00075		tag
gene_00016	18390	19277	Ontology_term:GO:0016740, go_function:transferase activity|0016740||IEA, inference:COORDINATES: similar to AA sequence:RefSeq:NP_248701.1, product:lysophospholipid acyltransferase, protein_id:WP_011058405.1	HH203_RS00080		
