gene_callers_id	chrom_start	chrom_end	COG_accession	COG_function	KO_accession	KEGG_function
0	164	1706	COG0593	Chromosomal replication initiation ATPase DnaA (DnaA) (PDB:1L8Q)	K02313	chromosomal replication initiator protein
1	1744	2848	COG0592	DNA polymerase III sliding clamp (beta) subunit, PCNA homolog (DnaN) (PDB:1JQJ)	K02338	DNA polymerase III subunit beta [EC:2.7.7.7]
2	2868	3972	COG1195	Recombinational DNA repair ATPase RecF (RecF) (PDB:5Z67)	K03629	DNA replication and repair protein RecF
3	3976	6394	COG0187	DNA gyrase/topoisomerase IV, subunit B (GyrB) (PDB:1EI1)	K02470	DNA gyrase subunit B [EC:5.6.2.2]
4	6626	7151				
5	7302	7788				
6	7784	8105				
7	8132	8861	COG0745	DNA-binding response regulator, OmpR family, contains REC and winged-helix (wHTH) domain (OmpR) (PDB:1XHF)	K02483	two-component system, OmpR family, response regulator
8	9089	9377				
9	9776	10775	COG4254	Uncharacterized peptidoglycan binding protein, contains LysM and FecR  domains	K07165	transmembrane sensor
10	10793	13112	COG4252!!!COG5002	Extracytoplasmic sensor domain CHASE2 (specificity unknown) (CHASE2)!!!Sensor histidine kinase WalK (WalK) (PDB:4I5S)		
11	13292	14087	COG0204	1-acyl-sn-glycerol-3-phosphate acyltransferase (PlsC) (PDB:1IUQ)	K00655	1-acyl-sn-glycerol-3-phosphate acyltransferase [EC:2.3.1.51]
12	14146	14680	COG0241	Histidinol phosphatase/D-glycero-mannoheptose bisphosphatephosphatase, HAD superfamily (HisB1/GmhB) (PDB:2GMW) (PUBMED:20050615;20050614)	K03273	D-glycero-D-manno-heptose 1,7-bisphosphate phosphatase [EC:3.1.3.82 3.1.3.83]
13	14697	16752	COG0751	Glycyl-tRNA synthetase, beta subunit (GlyS)	K01879	glycyl-tRNA synthetase beta chain [EC:6.1.1.14]
14	16748	17702	COG0752	Glycyl-tRNA synthetase, alpha subunit (GlyQ) (PDB:1J5W)	K01878	glycyl-tRNA synthetase alpha chain [EC:6.1.1.14]
15	17783	18347	COG2818	3-methyladenine DNA glycosylase Tag (Tag) (PDB:1LMZ)	K01246	DNA-3-methyladenine glycosylase I [EC:3.2.2.20]
16	18389	19277	COG1560	Palmitoleoyl-ACP: Kdo2-lipid-IV acyltransferase (lipid A biosynthesis) (LpxP) (PDB:5F2T) (PUBMED:11830595)	K02517	Kdo2-lipid IVA lauroyltransferase/acyltransferase [EC:2.3.1.241 2.3.1.-]
17	19349	19589				
